county,state,fips,population,depression_rate,mental_distress_rate,income,age,poverty,broadband,state_code,county_code,sci,poverty_rate,broadband_rate,income_quartile,region,economic_stress,digital_isolation,sci_effectiveness,region_encoded,cluster,cluster_name
Abbeville,South Carolina,45001,24434,24.0,18.55,45710,44.3,4072,6867,45,1,0.3642043086018618,16.665302447409346,28.104280920029467,Q1 Low,South,0.5371976046383432,0.5643373766893498,0.10615784203768056,3,1,Struggling Isolated
Acadia,Louisiana,22001,56489,31.0,22.200000000000003,42368,36.8,13209,16787,22,1,0.4351914334701378,23.383313565472925,29.717290091876297,Q1 Low,South,0.595167110685863,0.49429615156333606,0.1175747549962237,3,3,Rural Vulnerable
Accomack,Virginia,51001,33239,22.55,18.15,50601,47.1,5593,10899,51,1,0.4100617822853015,16.826619332711573,32.78979512019014,Q2 Mid-Low,South,0.5195695096177281,0.5413951567727739,0.1323135054961934,3,0,Middle America
Ada,Idaho,16001,524673,25.25,15.5,75115,37.7,43553,168392,16,1,0.5101184657270692,8.300979848400814,32.09465705305972,Q4 High,West,0.3684380808295728,0.47883265237359296,0.24433939684792727,4,2,Thriving Connected
Adair,Iowa,19001,7389,21.05,17.25,57944,43.4,837,2424,19,1,0.4333954089116395,11.32764920828258,32.805521721477874,Q3 Mid-High,Midwest,0.45449094087367287,0.5140832188595135,0.1601358464362301,0,0,Middle America
Adair,Missouri,29001,25122,27.4,19.35,46639,28.1,5258,6971,29,1,0.5285096954930726,20.929862272112093,27.74858689594777,Q1 Low,Midwest,0.5623251462354547,0.4486969018247111,0.15718024810517348,0,3,Rural Vulnerable
Adair,Oklahoma,40001,19627,26.65,21.75,37940,37.8,4814,3563,40,1,0.2703069650875832,24.527436694349618,18.15356396800326,Q1 Low,South,0.6198036844789322,0.6089957042650225,0.06539587335511765,3,1,Struggling Isolated
Adams,Idaho,16003,4903,22.75,16.35,52746,54.7,688,1184,16,3,0.295880767686191,14.032225168264327,24.148480522129308,Q2 Mid-Low,West,0.4925685993788816,0.6774212473944106,0.09951809370158225,4,1,Struggling Isolated
Adams,Iowa,19003,3544,21.15,16.65,57981,46.7,424,1267,19,3,0.4357107913138339,11.96388261851016,35.75056433408578,Q3 Mid-High,Midwest,0.4586284578133084,0.510970575319223,0.1610941608022357,0,0,Middle America
Adams,Colorado,8001,533365,20.5,17.0,78304,34.2,48959,159432,8,1,0.4929622430106226,9.179267480993316,29.89172517881751,Q4 High,West,0.3621439590081413,0.4735871254476095,0.24614634185921394,4,2,Thriving Connected
Adams,Illinois,17001,64441,23.1,17.5,58587,41.2,7703,22445,17,1,0.4710175003765882,11.953569932186031,34.83030989587375,Q3 Mid-High,Midwest,0.45624053132459896,0.47913240817145214,0.17596815665352966,0,0,Middle America
Adams,Indiana,18001,36288,27.45,19.75,56037,33.1,5354,9252,18,1,0.4341337839655066,14.754188712522046,25.496031746031743,Q2 Mid-Low,Midwest,0.48483284348648964,0.5063202996276994,0.155129446005797,0,3,Rural Vulnerable
Adams,Mississippi,28001,28746,17.799999999999997,18.2,33860,40.6,8083,8889,28,1,0.4134832776996709,28.118694774925206,30.92256313921937,Q1 Low,South,0.6595673631934623,0.5110065668380412,0.08927722551769761,3,1,Struggling Isolated
Adams,Nebraska,31001,30899,20.15,14.5,57783,37.5,3900,10716,31,1,0.5056089108872173,12.6217676947474,34.68073400433671,Q3 Mid-High,Midwest,0.4638107104339516,0.45335513539181965,0.18629902690198427,0,3,Rural Vulnerable
Adams,North Dakota,38001,2163,20.35,14.6,52896,46.9,309,810,38,1,0.4621441125727775,14.285714285714285,37.44798890429959,Q2 Mid-Low,Midwest,0.4936995742885148,0.4966801473502624,0.15588202459268619,0,0,Middle America
Adams,Ohio,39001,27521,27.25,20.65,44467,42.1,5216,7755,39,1,0.3793985640447787,18.95279968024418,28.17848188655936,Q1 Low,Midwest,0.5573382379996061,0.5474957797636365,0.10757944374400859,0,1,Struggling Isolated
Adams,Washington,53001,20820,22.3,18.3,54573,28.3,4198,5134,53,1,0.4925343160198474,20.16330451488953,24.65898174831892,Q2 Mid-Low,West,0.5268139230285024,0.4788491648041686,0.1713997183295039,4,3,Rural Vulnerable
Adams,Wisconsin,55001,21449,23.8,16.45,51878,54.5,2597,6853,55,1,0.3826662915938554,12.107790572987083,31.950207468879665,Q2 Mid-Low,Midwest,0.4829465205970396,0.6035217371294197,0.1265899457043765,0,0,Middle America
Addison,Vermont,50001,37720,25.45,15.8,77978,43.8,2391,12646,50,1,0.4493189186578535,6.33881230116649,33.525980911983034,Q4 High,Northeast,0.34428734973342223,0.5103313472867705,0.22342027304443984,1,2,Thriving Connected
Aiken,South Carolina,45003,177130,23.25,16.3,57572,41.2,21943,57458,45,3,0.4727506502301908,12.388076553943431,32.438322136284086,Q3 Mid-High,South,0.46304627678336946,0.5013395760851183,0.1735558403214655,3,3,Rural Vulnerable
Aitkin,Minnesota,27001,16102,25.0,15.9,50900,55.8,1804,5178,27,1,0.3692734608658407,11.203577195379456,32.157495963234375,Q2 Mid-Low,Midwest,0.48060694884092725,0.6111420618506765,0.11985651894880973,0,0,Middle America
Alachua,Florida,12001,285994,19.950000000000003,18.0,53314,32.1,52902,91330,12,1,0.5486145188210286,18.497590858549483,31.934236382581453,Q2 Mid-Low,South,0.5204278823724003,0.4392059888896336,0.1865109548875745,3,3,Rural Vulnerable
Alamance,North Carolina,37001,179165,24.3,17.6,55078,39.0,23671,55568,37,1,0.4718063022841117,13.211843831105403,31.01498618591801,Q2 Mid-Low,South,0.4781287318693036,0.49840108281748047,0.16570578887524184,3,3,Rural Vulnerable
Alameda,California,6001,1622188,18.75,15.25,112017,38.0,146763,536382,6,1,0.4696017973340379,9.0472251058447,33.06534137843456,Q4 High,West,0.23226933741349684,0.47202348111685843,0.3354358442553416,4,2,Thriving Connected
Alamosa,Colorado,8003,16655,22.6,18.05,46217,32.9,2466,5302,8,3,0.5285786656809363,14.806364455118583,31.83428399879916,Q1 Low,West,0.5227552576877088,0.44600766000466185,0.1557783727420169,4,3,Rural Vulnerable
Albany,New York,36001,316659,21.3,15.6,73810,38.0,34996,113632,36,1,0.5274115332025948,11.051635986976526,35.88465826014735,Q4 High,Northeast,0.39193096937650734,0.44584899793105404,0.24823362474211694,1,2,Thriving Connected
Albany,Wyoming,56001,38257,23.2,16.5,50733,28.5,8245,14365,56,1,0.6786348722328195,21.551611469796377,37.54868390098544,Q2 Mid-Low,West,0.5508430916797453,0.3606498490854954,0.21954446772426928,4,3,Rural Vulnerable
Albemarle,Virginia,51003,115676,21.35,14.75,90568,39.3,7118,38455,51,3,0.4929259455311002,6.153393962446834,33.24371520453681,Q4 High,South,0.2948707228127371,0.4799122490567213,0.2846769057387766,3,2,Thriving Connected
Alcona,Michigan,26001,10489,27.3,17.85,46187,58.7,1580,3724,26,1,0.4123901933536202,15.06339975212127,35.50386118791115,Q1 Low,Midwest,0.5245987662154967,0.6013666894102025,0.12145736770218055,0,0,Middle America
Alcorn,Mississippi,28003,34135,22.4,18.2,44068,40.0,5629,10007,28,3,0.4029874414928266,16.490405741907132,29.31595136956204,Q1 Low,South,0.5423036334896953,0.5215170329675825,0.11324280913720665,3,1,Struggling Isolated
Aleutians East,Alaska,2013,3461,12.3,13.0,72258,43.2,454,526,2,13,0.1900604858320756,13.117596070499856,15.197919676394106,Q4 High,West,0.4117638622943796,0.6760834255696817,0.08757367052406323,4,1,Struggling Isolated
Aleutians West,Alaska,2016,5160,13.2,13.1,90708,39.4,415,773,2,16,0.2097573700200454,8.04263565891473,14.98062015503876,Q4 High,West,0.3070414479240182,0.6502006832636584,0.12132731917140102,4,1,Struggling Isolated
Alexander,Illinois,17003,4695,22.2,19.6,39871,45.5,1316,1031,17,3,0.222328186521313,28.029818956336527,21.959531416400427,Q1 Low,Midwest,0.6359714206554504,0.6301956844527421,0.05652589337391848,0,1,Struggling Isolated
Alexander,North Carolina,37003,36473,26.4,18.3,55041,43.7,4056,10976,37,3,0.39552427124314,11.120554931044882,30.09349381734433,Q2 Mid-Low,South,0.46420502925906065,0.5414642764325595,0.13882102150537026,3,0,Middle America
Alexandria,Virginia,51510,155230,20.75,14.45,105450,37.1,15002,69116,51,510,0.644119591873873,9.664369000837466,44.524898537653804,Q4 High,South,0.26154548925049426,0.35902524545092146,0.43312063411851676,3,2,Thriving Connected
Alfalfa,Oklahoma,40003,5673,23.25,16.95,66552,44.6,545,1484,40,3,0.3288228147475779,9.60690992420236,26.158998766084963,Q4 High,South,0.4099834958472042,0.5845999816059078,0.13954646359276376,3,1,Struggling Isolated
Alger,Michigan,26003,8757,25.45,17.9,48822,49.3,884,2434,26,3,0.3213826353072315,10.0947813178029,27.79490693159758,Q2 Mid-Low,Midwest,0.4811000479777242,0.6039203183207923,0.10005383858647537,0,1,Struggling Isolated
Allamakee,Iowa,19005,14074,20.9,17.1,59461,43.5,1449,4540,19,5,0.4282196349607251,10.29558050305528,32.25806451612903,Q3 Mid-High,Midwest,0.4417455442545821,0.5199000153143372,0.1623658037788286,0,0,Middle America
Allegan,Michigan,26005,121939,26.35,17.85,70269,40.1,10523,38427,26,5,0.4529137265631803,8.629724698414782,31.51329763242277,Q4 High,Midwest,0.3891899859511144,0.5018511273207034,0.20294344923108587,0,0,Middle America
Allegany,New York,36003,46651,21.75,18.0,54375,39.2,6768,13405,36,3,0.4113965316667691,14.50772759426379,28.734646631369102,Q2 Mid-Low,Northeast,0.4895340759166341,0.5210401397446787,0.14264471218383104,1,0,Middle America
Allegany,Maryland,24001,67273,26.15,19.55,51090,41.4,8908,22353,24,1,0.4476821007576016,13.241567939589435,33.227297727171376,Q2 Mid-Low,Northeast,0.4935868062282743,0.4954831708004392,0.14584831449682037,1,0,Middle America
Alleghany,Virginia,51005,14595,25.6,18.8,49705,48.0,2099,4898,51,5,0.3967698318341809,14.381637547105171,33.55943816375471,Q2 Mid-Low,South,0.5065535440986407,0.540857735216264,0.1257576758936492,3,0,Middle America
Alleghany,North Carolina,37005,11342,26.450000000000003,17.85,38930,50.6,2321,3777,37,5,0.4186479730272603,20.463763004761063,33.30100511373655,Q1 Low,South,0.5886851026486146,0.5623465967901686,0.10392718825891459,3,1,Struggling Isolated
Allen,Louisiana,22003,22112,27.5,20.95,47660,38.4,3383,5736,22,3,0.3630570432103647,15.29938494934877,25.940665701881333,Q1 Low,South,0.5205501939063466,0.5411056893171697,0.11033789275292201,3,1,Struggling Isolated
Allen,Indiana,18003,394545,26.3,17.7,61456,36.1,46353,132577,18,3,0.5260757033592155,11.748469756301562,33.602504150350406,Q3 Mid-High,Midwest,0.44388425428123324,0.4530863989512977,0.20616185603741813,0,3,Rural Vulnerable
Allen,Ohio,39003,100838,27.7,18.9,55114,39.5,12799,34680,39,3,0.4817710317001162,12.692635712727348,34.391796743291216,Q2 Mid-Low,Midwest,0.4744989860889601,0.4707219111249749,0.16931615434871736,0,0,Middle America
